Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,star_movies_Number,Director,Director_movies_number,Music Director,Music_Director_movies_number,Number of Screens,Revenue(INR),Budget(INR)
Golden Boys,Normal,No,No,suspense,Yes,No,No,Jeet Goswami,2,Ravi Varma,2,Baba Jagirdar,4,5,5000000,85000
Kaccha Limboo,Holiday,No,No,drama,Yes,No,Yes,Karan Bhanushali,1,Sagar Ballary,4,Amardeep Nijjer,1,75,15000000,825000
Not A Love Story,Holiday,No,No,thriller,No,No,No,Mahie Gill,3,Ram Gopal Verma,18,Sandeep Chowta,5,525,75000000,56700000
Qaidi Band,Holiday,No,No,drama,Yes,No,No,Aadar Jain,1,Habib Faisal,4,Amit Trivedi,24,800,210000000,4500000
Chaatwali,Holiday,No,No,adult,Yes,Yes,Yes,Aadil Khan,1,Aadil Khan,1,Babloo Ustad,1,1,1000000,1075000
Shuttlecock Boys,Normal,No,No,comedy,Yes,Yes,Yes,Aakar Kaushik,1,Hemant Gaba,1,Avinash Baghel,1,10,5000000,170000
Dirty Marriage,Holiday,No,No,adult,Yes,No,Yes,Aakash,1,Priyanka,2,Dharma,1,2,1500000,35000
Future To Bright Hai Ji,Holiday,No,No,drama,No,Yes,Yes,Aamir Bashir,1,Sanjay Amar,1,Amir Ali,1,30,15000000,825000
Ghajini,Holiday,Yes,No,action,No,Yes,No,Aamir Khan,10,A.R. Murugadoss,3,A.R. Rehman,26,1550,520000000,1945820000
Taare Zameen Par,Holiday,No,No,drama,No,Yes,No,Aamir Khan,10,Aamir Khan,1,Shankar - Ehsaan - Loy,41,500,180000000,875785000
Mangal Pandey - The Rising,Holiday,No,No,drama,No,No,No,Aamir Khan,10,Ketan Mehta,2,A.R. Rehman,26,675,370000000,525785000
Fanaa,Normal,No,No,love_story,No,No,No,Aamir Khan,10,Kunal Kohli,3,Jatin - Lalit,9,650,300000000,1054800000
Dangal,Holiday,No,No,drama,No,No,No,Aamir Khan,10,Nitish Tiwari,3,Pritam,92,4250,1320000000,7024750000
3 Idiots,Holiday,No,No,drama,No,No,No,Aamir Khan,10,Rajkumar Hirani,3,Shantanu Moitra,15,1750,770000000,3491035000
PK,Normal,No,No,drama,No,No,No,Aamir Khan,10,Rajkumar Hirani,3,Ajay - Atul,8,3600,1220000000,6160362500
Rang De Basanti,Holiday,No,No,drama,No,No,No,Aamir Khan,10,Rakesh Omprakash Mehra,4,A.R. Rehman,26,600,280000000,979080000
Talaash,Normal,No,No,thriller,No,No,No,Aamir Khan,10,Reema Kagti,2,Ram Sampath,13,2550,710000000,1729717500
Dhoom 3,Normal,No,Yes,action,No,No,No,Aamir Khan,10,Vijay Krishna Acharya,2,Pritam,92,3650,1750000000,5243760000
Pyaar Mein Aisa Hota Hai,Holiday,No,No,thriller,Yes,Yes,Yes,Aanamika Bawa,1,Rajesh Kumar,1,Shabab Azmi,2,5,5500000,350000
Gurjar Aandolan - A Fight For Right,Normal,No,No,drama,Yes,Yes,Yes,Aarun Nagar,1,Aarun Nagar,1,Ashish Donald,1,5,6500000,575000
Yehi Hai High Society,Holiday,No,No,thriller,No,No,No,Aaryan,1,Ravi Sinha,2,S. Paul,1,20,6500000,4000000
Say Yes To Love,Normal,No,No,love_story,Yes,No,No,Aasad Mirza,1,Mahrukh Mirza,1,Jatin Pandit,5,30,17500000,525000
Dreams - Sapnay Sach Honge...,Holiday,No,No,love_story,Yes,Yes,No,Aashish Chanana,1,Aashish Chanana,1,Sajid - Wajid,48,25,12500000,1375000
Three - Love Lies Betrayal,Normal,No,No,thriller,No,Yes,No,Aashish Chaudhary,1,Vishal Pandya,4,Chirantan Bhatt,9,325,40000000,10000000
Malegaon Me Gadbad Ghotala,Normal,No,No,comedy,Yes,Yes,No,Aasif Albela,1,Anwar Shaikh,1,Sahil Patil,2,5,1000000,300000
Khota Sikka - Jaat Ke Thaath,Normal,No,No,comedy,Yes,Yes,Yes,Aatri Kumar,1,Ram Pratap Singh,1,Udbhav,1,50,9000000,600000
Hi Fi Log,Holiday,No,No,adult,Yes,Yes,No,Abhay Bakshi,1,Baba Jagirdar,1,Baba Jagirdar,4,2,1500000,500000
Dev D,Holiday,No,No,drama,No,No,No,Abhay Deol,9,Anurag Kashyap,10,Amit Trivedi,24,525,110000000,208200000
One By Two,Normal,No,No,rom__com,No,Yes,No,Abhay Deol,9,Devika Bhagat,1,Shankar - Ehsaan - Loy,41,500,210000000,37700000
Oye Lucky! Lucky Oye!,Normal,No,No,comedy,No,No,No,Abhay Deol,9,Dibakar Banerjee,5,Sneha Khanwalkar,6,400,120000000,100620000
Socha Na Tha,Holiday,No,No,rom__com,Yes,Yes,No,Abhay Deol,9,Imtiaz Ali,7,Sandesh Shandilya,20,110,50000000,52800000
Happy Bhaag Jayegi,Normal,No,No,rom__com,No,No,No,Abhay Deol,9,Mudassar Aziz,2,Sohail Sen,7,1000,200000000,391500000
Manorama Six Feet Under,Normal,No,No,suspense,No,Yes,Yes,Abhay Deol,9,Navdeep Singh,1,Jayesh Gandhi,1,75,32500000,5800000
Honeymoon Travels Pvt. Ltd.,Normal,No,No,rom__com,No,Yes,No,Abhay Deol,9,Reema Kagti,2,Vishal - Shekhar,38,350,100000000,195160000
Ek Chalis Ki Last Local,Normal,No,No,comedy,No,Yes,No,Abhay Deol,9,Sanjay Khanduri,2,Sandesh Shandilya,20,140,35000000,25000000
Ahista Ahista,Holiday,No,No,love_story,No,Yes,No,Abhay Deol,9,Shivam Nair,3,Himesh Reshammiya,51,200,40000000,23100000
Lottery,Holiday,No,No,drama,Yes,Yes,Yes,Abhijeet Sawant,1,Hemant Prabhu,1,Santosh Singh,1,40,17500000,425000
Roar - Tigers Of The Sundarbans,Normal,No,No,thriller,Yes,Yes,Yes,Abhinav Shukla,1,Kamal Sadanah,1,John Stewart,1,1250,250000000,134612500
Chakradhaar,Normal,No,No,action,Yes,Yes,No,Abhishek Anand,1,Dharam Prakash,1,Anand Raj Anand,19,250,45000000,6300000
Players,Normal,Yes,No,action,No,No,No,Abhishek Bachchan,14,Abbas - Mustan,7,Pritam,92,1900,550000000,485600000
Game,Holiday,Yes,No,thriller,No,Yes,No,Abhishek Bachchan,14,Abhinay Deo,4,Shankar - Ehsaan - Loy,41,1100,340000000,128792500
Khelein Hum Jee Jaan Sey,Normal,No,No,drama,No,No,No,Abhishek Bachchan,14,Ashutosh Gowariker,4,Sohail Sen,7,750,390000000,76653750
Drona,Holiday,No,No,action,No,No,No,Abhishek Bachchan,14,Goldie Behl,1,Dhruv Ghanekar,2,750,430000000,180660000
Guru,Holiday,No,No,drama,No,No,No,Abhishek Bachchan,14,Mani Ratnam,2,A.R. Rehman,26,650,220000000,836710000
Raavan,Normal,Yes,No,action,No,No,No,Abhishek Bachchan,14,Mani Ratnam,2,A.R. Rehman,26,1350,550000000,495722500
Delhi 6,Holiday,No,No,drama,No,No,No,Abhishek Bachchan,14,Rakesh Omprakash Mehra,4,A.R. Rehman,26,1100,480000000,521750000
Bluffmaster,Normal,No,No,thriller,No,No,No,Abhishek Bachchan,14,Rohan Sippy,3,Vishal - Shekhar,38,350,100000000,327100000
Dum Maaro Dum,Holiday,No,No,thriller,No,No,No,Abhishek Bachchan,14,Rohan Sippy,3,Pritam,92,1350,310000000,511940000
Bunty Aur Babli,Normal,No,No,comedy,No,No,No,Abhishek Bachchan,14,Shaad Ali,4,Shankar - Ehsaan - Loy,41,475,125000000,637405000
Jhoom Barabar Jhoom,Normal,No,No,rom__com,No,No,No,Abhishek Bachchan,14,Shaad Ali,4,Shankar - Ehsaan - Loy,41,950,270000000,485250000
Dostana,Normal,No,No,rom__com,No,Yes,No,Abhishek Bachchan,14,Tarun Mansukhani,1,Vishal - Shekhar,38,1000,400000000,871517500
All Is Well,Normal,No,No,drama,No,No,No,Abhishek Bachchan,14,Umesh Shukla,3,Himesh Reshammiya,51,1650,340000000,230320000
