Lead_Star,star_movies_Number,Director,Director_movies_number,Music_Director,Music_Director_movies_number
Aadil Khan,1,Aadil Khan,1,Babloo Ustad,1
Aakar Kaushik,1,Hemant Gaba,1,Avinash Baghel,1
Aamir Bashir,1,Sanjay Amar,1,Amir Ali,1
Aarun Nagar,1,Aarun Nagar,1,Ashish Donald,1
Aatri Kumar,1,Ram Pratap Singh,1,Udbhav,1
Abhay Deol,9,Navdeep Singh,1,Jayesh Gandhi,1
Abhijeet Sawant,1,Hemant Prabhu,1,Santosh Singh,1
Abhinav Shukla,1,Kamal Sadanah,1,John Stewart,1
Abhishek Gupta,1,Rajesh Dubey,1,Suresh Kumar,1
Abhishek Sharma,1,Pawan K. Shrivastava,1,Rupesh Pathak,1
Abhishek Urade,1,Pravin Damle,1,Pravin Damle,1
Adam Bedi,1,Sanjay Jha,1,Zubeen Garg,1
Adil Hussain,3,Unni Vijayan,1,Ganesh Kumaresh,1
Aditi Sharma,1,Hemant Hegde,1,Tabun Sutradhar,1
Aishwarya Rai,3,Somnath Sen,1,Mahesh Balraj,1
Ajay Kumar,1,L.N. Masade,1,Harish Sharma,1
Ajay Shukla,1,Lalit M. Bisht,1,Raja Pandit,1
Ajay Soni,1,Sanjay Suryavanshi,1,Mike Mitra,1
Ajaz Khan,2,Zubair Khan,1,Dilshad,1
Akshay Oberoi,2,Vidhi Kasliwal,1,Manmeet Singh,1
Akshaye Khanna,8,Aroop Adhikari,1,Debjit Bera,1
Aksshat,1,Geeta Tomar,1,Benson Baby,1
Ali Fazal,4,Karan Darra,1,Naveed Zafar,1
Alma Grey,1,M.R. Shahjahan,1,Sunna Wehrmeijer,1
Aman Sagar,1,Amit Suryavanshi,1,Amar - Akbar,1
Amit Hotchandani,1,Amit Chauhan,1,Chander Makwana,1
Amit Sadh,1,Amit Roy,1,Abhishek - Akshay,1
Amitabh Bachchan,21,Ashok Gupta,1,R.D. Burman,1
Anay,1,Rituparno Ghosh,1,Sanjoy Das,1
Anirudh Loka,1,Anay,1,Anay,1
Anita Kanwal,1,Nitin Raghunath,1,Divyang Arora,1
Anmol Singh,1,Kamal Swaroop,1,Rajat Dholakia,1
Anu Kapoor,1,Nitin Mathur,1,Sajid Salam,1
Anubhav Anand,1,Vinod Kapri,1,Sushmit Sen,1
Anuj Mishra,1,Ajmal Zaheer Ahmad,1,Josh,1
Anuj Pandit,1,Shyamlal K. Mishra,1,Shiv Prakash Mishra,1
Anuj Saxena,2,Pankaj Sharma,1,Sanjay Dhakan,1
Apurv Ratan,1,Sachin Gupta,1,Vikram Khajuria,1
Arbaaz Khan,3,Deepak Goswami,1,Sushil Dalai,1
Arjun Kapoor,6,Rajeev Walia,1,Raaj Aashoo,1
Arman,1,Amit Ravindernath Sharma,1,Imraan Khan,1
Arvindo,1,Vinod Rikhhi,1,Gurnam Singh Mann,1
Aryan Vaid,3,Teerat Singh Johar,1,Bobby Rehman,1
Asha Bhonsle,1,Om Prakash Makkar,1,Vijay Kapoor,1
Ashima Sharma,1,Mahesh Kodiyal,1,Nithin R. Shankar,1
Ashok Kumar,1,S. Sachindra,1,Naresh Karwala,1
Ashraf Khan,1,Joy Mukherjee,1,Shankar - Jaikishen,1
Ashrita Agarwaal,1,Atul Sriva,1,Atul Sriva,1
Atul Kulkarni,4,Sanjay Sharan,1,Madhumay,1
Avinash Bhargava,1,Anup Kurian,1,Lisa Stanislawski,1
Ayushman Khurana,8,Karan Kashyyap,1,Pravin More,1
Azim,1,R.S. Prasanna,1,Vayu,1
Barun Sobti,1,Ashfaque Makrani,1,Shailendra - Sayanti,1
Bhagyashree,1,Adeeb Rais,1,Ravi Shukla,1
Bhoop Yaduvanshi,1,Chander Behl,1,Nirmal Pawar,1
Biswaroop Roy Chowdhary,1,Akashaditya Lama,1,Kavita Seth,1
Buali Shah,1,Rana Jaiswal,1,Manjit Arora,1
Chahat Khanna,1,Jenner Jose,1,Saurabh Malhotra,1
Chandan Roy Sanyal,2,Deepak Bengani,1,Bali Brahmbhatt,1
Danny Denzongpa,1,Ashish R. Shukla,1,Atif Afzal,1
Deep Bhattacharya,1,Rafeeq Ellias,1,Ronit Chatterji,1
Dhananjay,1,Shivajee Chandrabhushan,1,John P. Varkey,1
Dibyendu Bhattacharya,2,Tutu Sinha,1,Haricharan Verma,1
Dilzan Wadia,2,Dil Kumar,1,Mahesh Naik,1
Disha Chaudhary,1,Sidharth Srinivasan,1,Jona Kampa,1
Divya Dutta,3,Shyam Shah,1,Shahank Phadnis,1
Faheem Ul Haq,1,Raju Mavani,1,Farzan Faaiz,1
Farooque Shaikh,2,Prabhakar Shukla,1,Vivek Prakash,1
Gagan Nimesh,1,Sushen Bhatnagar,1,Raju Rao,1
Gaurav Kakkar,1,Vijay Ghatge,1,Taufiq Qureshi,1
Gauri Angel,1,Aziz Naser,1,Rajesh S.S,1
Gayatri Patel,1,Mrityunjay Devvrat,1,Sidhant Mathur,1
Govinda,11,Jaganath S.R.,1,Lava Kumar S.R.,1
Gracy Singh,6,Mahesh Kapoor,1,Ali Vasudev,1
Guddi Maruti,1,Shravan Jain,1,Munni Raj,1
Gulzar Inder Chahal,1,Aarif Sheikh,1,Vipin Mishra,1
Gunj,1,Kirti Kumar,1,Kamini Khanna,1
Gurdeep Mehndi,1,Ajay Panesekar,1,Arvind Haldipur,1
Hameed Khan,1,Indrajit Singh,1,Kuldeep Singh,1
Hema Malini,1,Kuldeepak Bakshi,1,Ravee Jule,1
Hemant Pandey,1,Puneet Issar,1,Sudhakar Sharma,1
Himanshu Bhatt,1,Sudhir Pillai,1,Billu,1
Hussain Dalal,1,Syed Noor,1,Daler Mehndi,1
Hussain Kuwajerwala,1,Sharique Minhaj,1,C.P. Aslam,1
Irfan Choudhary,1,Gul Bahar Singh,1,Hriju Roy,1
Irrfan Khan,9,Harish Sharma,1,Varsha,1
Ishaan Manhaas,1,Sanjeev Reddy,1,Sunil Kashyap,1
Ishaan Tandon,1,Srinivas Sunderrajan,1,Swarathma,1
Jackie Shroff,15,Rajesh Bachchani,1,Talaash - Band Of Seekers,1
Jatin Khurana,1,Suresh K. Goswami,1,Bhajan Sopori,1
Javed Jaffrey,1,Kaushik Roy,1,Lesle Lewis,1
Jaya Bachchan,1,Shankhadeep,1,Nitin Kumar Gupta,1
Jimmy Shergill,15,Iqbal Ali,1,Jalalludin Khan,1
Jyoti Dev,1,Anand Balraj,1,Aabfm,1
Kalpana Pandit,1,Japinder Kaur Baweja,1,Jazzy Bains,1
Kanan Malhotra,1,Rakesh Jain,1,Reeky Dev,1
Kanwaljeet,1,Ashvin Kumar,1,Matt Robertson,1
Karan Hakku,1,Jayabrato Chatterjee,1,Usha Uthup,1
Karan Sharma,1,Anwer Khan,1,J.D. Singh - Rajan,1
Kashish,1,Tilak Chutani,1,Aman,1
Kavin Dave,1,Sandeep Malani,1,Mike Paul Hughes,1
Kay Kay Menon,11,A. Chitransh,1,Dilip Sen,1
Khushboo Khan,1,Ranjan Shandilya,1,Runa Rizvi,1
Kiran Janjani,3,Paul - Venu,1,Sahil Fatehpuri,1
Kirron Kher,2,Nitin Tiwari,1,Sudheer - Milind,1
Koel Puri,1,Rajesh Mittal,1,Amresh Shahabadi,1
Kohinoor Khan,1,Jagdish Rajpurohit,1,Faiz ur Rehmen,1
Konkona Sen Sharma,4,Rakesh Mehta,1,Vinay Jaiswal,1
Krishna,1,Ashok Mehta,1,Shiv - Ram,1
Krishna Abhishek,1,Mahesh D. Singh,1,Niranjan - Saket,1
Kumaar Aadarsh,2,Shona Urvashi,1,Randolph Correa,1
Kumar Jai Baliyaan,1,Vishal Inamdar,1,Kaushal Inamdar,1
Laala Khan,1,Umesh Gandhi,1,Liyaqat Asmmen,1
Leander Paes,1,Manu Rewal,1,Sawan Datta,1
Luke Kenny,1,Manoj,1,A.K. Alrin,1
Madhoo,1,S. Soni,1,Ravi Chopra,1
Madhuri Dixit,2,Kumaar Aadarsh,1,Aditya Shankar,1
Mahima Chaudhary,3,Prabhu Dayal Meena,1,Veivek Asthaana,1
Manish Chaudhary,1,Kailash Dangi,1,Sanjeev Chorasiya,1
Manoj Pandey,1,Ashok Kohli,1,Lahu Madhav,1
Melanie Kannokada,1,Luke Kenny,1,Caralisa Monteiro,1
Milind Gunaji,3,Kallol Sen,1,Chiradeep Dasgupta,1
Mithun Chakraborty,10,Soumik Sen,1,Soumik Sen,1
Mohit Chauhan,1,Amar Butala,1,Yasin Darbar,1
Mohsin,1,Jitender Pawar,1,Onkar Singh,1
Mohsin Khan,1,Kesar Matharu,1,Imran Wasim,1
Monalisa,3,Chandra Pemmaraju,1,Dan Omelia,1
Mrunmayee Lagoo,1,Devendra Dua,1,Abhijeet - Kuljeet,1
