Movie_Name,Whether_Remake,Whether_Franchise,Lead_Star,star_movies_Number,Director,Director_movies_number,Music_Director,Music_Director_movies_number,Budget_USD,Revenue_USD
Chaatwali,FALSE,FALSE,Aadil Khan,1,Aadil Khan,1,Babloo Ustad,1,12900,12000
Shuttlecock Boys,FALSE,FALSE,Aakar Kaushik,1,Hemant Gaba,1,Avinash Baghel,1,2040,60000
Future To Bright Hai Ji,FALSE,FALSE,Aamir Bashir,1,Sanjay Amar,1,Amir Ali,1,9900,180000
Gurjar Aandolan - A Fight For Right,FALSE,FALSE,Aarun Nagar,1,Aarun Nagar,1,Ashish Donald,1,6900,78000
Khota Sikka - Jaat Ke Thaath,FALSE,FALSE,Aatri Kumar,1,Ram Pratap Singh,1,Udbhav,1,7200,108000
Manorama Six Feet Under,FALSE,FALSE,Abhay Deol,9,Navdeep Singh,1,Jayesh Gandhi,1,69600,390000
Lottery,FALSE,FALSE,Abhijeet Sawant,1,Hemant Prabhu,1,Santosh Singh,1,5100,210000
Roar - Tigers Of The Sundarbans,FALSE,FALSE,Abhinav Shukla,1,Kamal Sadanah,1,John Stewart,1,1615350,3000000
Apne Ghayal Indian,FALSE,FALSE,Abhishek Gupta,1,Rajesh Dubey,1,Suresh Kumar,1,1680,12000
Naya Pata,FALSE,FALSE,Abhishek Sharma,1,Pawan K. Shrivastava,1,Rupesh Pathak,1,192,12000
A Journey Of Samyak Buddha,FALSE,FALSE,Abhishek Urade,1,Pravin Damle,1,Pravin Damle,1,4200,24000
Strings - Bound By Faith,FALSE,FALSE,Adam Bedi,1,Sanjay Jha,1,Zubeen Garg,1,870,108000
Lessons In Forgetting,FALSE,FALSE,Adil Hussain,3,Unni Vijayan,1,Ganesh Kumaresh,1,720,720000
Khanna & Iyer,FALSE,FALSE,Aditi Sharma,1,Hemant Hegde,1,Tabun Sutradhar,1,23700,270000
The Mistress Of Spices,FALSE,FALSE,Aishwarya Rai,3,Somnath Sen,1,Mahesh Balraj,1,412800,1080000
Boyfriend.com,FALSE,FALSE,Ajay Kumar,1,L.N. Masade,1,Harish Sharma,1,2040,30000
Jeet Lenge Jahaan,FALSE,FALSE,Ajay Shukla,1,Lalit M. Bisht,1,Raja Pandit,1,6300,180000
Jai Balaji Mehndipur Wale,FALSE,FALSE,Ajay Soni,1,Sanjay Suryavanshi,1,Mike Mitra,1,1560,18000
Lakeer Ka Fakeer,FALSE,FALSE,Ajaz Khan,2,Zubair Khan,1,Dilshad,1,26100,150000
Isi Life Mein...!,FALSE,FALSE,Akshay Oberoi,2,Vidhi Kasliwal,1,Manmeet Singh,1,166800,1020000
Dahek,FALSE,FALSE,Akshaye Khanna,8,Aroop Adhikari,1,Debjit Bera,1,1920,120000
Mr. Majnu,FALSE,FALSE,Aksshat,1,Geeta Tomar,1,Benson Baby,1,1680,90000
Khamoshiyan,FALSE,FALSE,Ali Fazal,4,Karan Darra,1,Naveed Zafar,1,1610160,1440000
Karma: Crime. Passion. Reincarnation,FALSE,FALSE,Alma Grey,1,M.R. Shahjahan,1,Sunna Wehrmeijer,1,12900,300000
Kamsin - The Untouched,FALSE,FALSE,Aman Sagar,1,Amit Suryavanshi,1,Amar - Akbar,1,3900,15000
Me Mamu & 7,FALSE,FALSE,Amit Hotchandani,1,Amit Chauhan,1,Chander Makwana,1,4800,120000
Running Shaadi,FALSE,FALSE,Amit Sadh,1,Amit Roy,1,Abhishek - Akshay,1,160800,1020000
Yaar Meri Zindagi,FALSE,FALSE,Amitabh Bachchan,21,Ashok Gupta,1,R.D. Burman,1,864,30000
The Last Lear,FALSE,FALSE,Amitabh Bachchan,21,Rituparno Ghosh,1,Sanjoy Das,1,175200,1320000
Happy Husbands,FALSE,FALSE,Anay,1,Anay,1,Anay,1,64800,360000
Mere Haule Dost,FALSE,FALSE,Anirudh Loka,1,Nitin Raghunath,1,Divyang Arora,1,2400,90000
Om Dar-B-Dar,FALSE,FALSE,Anita Kanwal,1,Kamal Swaroop,1,Rajat Dholakia,1,3900,18000
